name,pred_category,pred_subcategory,probability,classifying_time_ms
image-0.jpeg,Daur Ulang,Carton,0.73424613,0.473
image-1.jpeg,Daur Ulang,Carton,0.9992536,0.418
image-2.jpeg,Daur Ulang,Carton,0.48771352,0.428
image-3.jpeg,Daur Ulang,Carton,0.99751794,0.433
image-4.jpeg,Daur Ulang,Carton,0.9998105,0.416
image-5.jpeg,Guna Ulang,Metal Other,0.5805439,0.417
image-6.jpeg,Daur Ulang,Carton,0.887642502784729,0.471
image-7.jpeg,Daur Ulang,Carton,0.6739593148231506,0.42
image-8.jpeg,Guna Ulang,Metal Can,0.9417455792427064,0.416
image-9.jpeg,Guna Ulang,Plastic Bag,0.743246853351593,0.428
image-10.jpeg,Guna Ulang,Metal Can,0.9034942388534546,0.419
image-11.jpeg,Daur Ulang,Paper Other,0.3956769704818725,0.414
image-12.jpeg,Daur Ulang,Carton,0.9902104139328004,0.418
image-13.jpeg,Guna Ulang,Styrofoam Cup,0.5482691526412964,0.417
image-14.jpeg,Daur Ulang,Carton,0.9903967380523682,0.426
image-15.jpeg,Daur Ulang,Carton,0.4714767038822174,0.417
image-16.jpeg,Daur Ulang,Paper Other,0.715089738368988,0.422
image-17.jpeg,Daur Ulang,Paper Other,0.7916452288627625,0.418
image-18.jpeg,Daur Ulang,Carton,0.9770192503929138,0.422
image-19.jpeg,Daur Ulang,Paper Other,0.5509214401245117,0.425
image-20.jpeg,Daur Ulang,Cardboard,0.569564938545227,0.423
image-21.jpeg,Daur Ulang,Cardboard,0.9855682253837584,0.418
image-22.jpeg,Daur Ulang,Paper Other,0.9961426854133606,0.415
image-23.jpeg,Daur Ulang,Paper Other,0.345757782459259,0.423
image-24.jpeg,Daur Ulang,Paper Other,0.693471372127533,0.415
image-25.jpeg,Daur Ulang,Paper Other,0.7082221508026123,0.429
image-26.jpeg,Guna Ulang,Metal Foil,0.4932142794132232,0.419
image-27.jpeg,Guna Ulang,Plastic Bag,0.7321515679359436,0.419
image-28.jpeg,Guna Ulang,Metal Can,0.4708997905254364,0.433
image-29.jpeg,Guna Ulang,Glass Tableware,0.6017801761627197,0.414
image-30.jpeg,Guna Ulang,Plastic Bag,0.9985767602920532,0.415
image-31.jpeg,Guna Ulang,Plastic Bag,0.5295019745826721,0.477
image-32.jpeg,Daur Ulang,Paper Other,0.6760410666465759,0.416
image-33.jpeg,Guna Ulang,Plastic Bag,0.6858262419700623,0.418
image-34.jpeg,Daur Ulang,Paper Other,0.5874170660972595,0.421
image-35.jpeg,Daur Ulang,Paper Cup,0.999970555305481,0.413
image-36.jpeg,Daur Ulang,Paper Cup,0.9995774626731871,0.408
image-37.jpeg,Daur Ulang,Paper Cup,0.890414834022522,0.407
